fid,county,total_disasters,total_flood,total_fire,total_tornado,total_hurricane,total_coastal_storm,total_drought,total_freezing
153,Hall,15,1,4,0,3,0,0,3
45,Lynn,13,0,3,0,4,0,0,3
46,Mills,11,0,3,0,3,0,0,2
47,Oldham,11,0,3,0,3,0,0,3
48,Sabine,19,1,3,0,8,1,0,2
154,Hood,14,2,2,0,3,0,0,2
155,Archer,16,1,5,0,4,0,0,2
156,Baylor,13,1,3,0,3,0,0,2
157,San Augustine,19,1,3,0,7,1,0,3
158,Madison,18,3,2,0,6,1,0,2
159,Milam,15,1,2,0,5,0,0,2
160,Reeves,10,0,3,0,3,0,0,2
161,Nueces,23,1,2,0,12,1,0,2
162,Camp,11,0,2,0,4,0,0,2
163,Freestone,11,0,2,0,3,0,0,2
164,Runnels,10,0,2,0,3,0,0,2
165,Terrell,10,0,3,0,3,0,0,2
126,Cooke,12,0,2,0,3,0,0,3
132,Grimes,20,3,5,0,6,1,0,2
125,Ellis,17,0,4,0,5,0,0,2
143,Brown,17,3,5,0,3,0,0,2
166,Deaf Smith,12,0,3,0,3,0,0,3
167,Marion,15,1,4,0,5,0,0,3
168,Liberty,23,3,3,0,8,1,0,2
169,Jasper,23,2,4,0,9,1,0,2
185,Live Oak,17,1,4,0,7,1,0,2
229,Goliad,15,1,1,0,9,0,0,2
248,Mason,12,1,3,0,3,0,0,2
249,Taylor,14,1,4,0,3,0,0,2
217,Burleson,13,1,2,0,5,0,0,2
226,Stephens,18,1,9,0,3,0,0,2
247,Llano,11,1,2,0,3,0,0,2
244,Anderson,18,1,4,0,6,1,0,2
99,Lubbock,14,0,2,0,6,0,0,2
110,Swisher,11,0,3,0,3,0,0,2
111,Sterling,10,0,3,0,3,0,0,2
112,Winkler,10,0,3,0,3,0,0,2
113,Frio,14,1,3,0,4,1,0,2
127,Williamson,18,0,7,0,4,0,0,2
128,Cochran,11,0,3,0,3,0,0,2
129,Van Zandt,14,1,2,0,4,0,0,2
130,Donley,11,0,3,0,3,0,0,2
131,Jones,18,3,4,0,3,0,0,2
114,Lipscomb,9,0,2,0,3,0,0,2
115,Collingsworth,11,0,2,0,3,0,0,2
116,Colorado,14,1,2,0,6,0,0,2
117,Wise,14,0,4,0,4,0,0,2
118,Glasscock,10,0,3,0,3,0,0,2
119,Shelby,18,1,2,0,7,1,0,3
120,Comanche,14,2,2,0,3,0,0,2
121,Burnet,14,2,4,0,3,0,0,2
122,Gray,11,0,3,0,3,0,0,3
123,Hudspeth,10,0,2,0,3,0,0,2
124,Cass,19,2,4,0,6,0,0,3
136,Dallam,9,0,2,0,3,0,0,2
137,Hunt,14,0,3,0,4,0,0,3
138,Mitchell,11,0,4,0,3,0,0,2
139,Wood,15,1,3,0,5,0,0,3
140,Childress,11,0,3,0,3,0,0,2
141,Jeff Davis,16,0,9,0,3,0,0,2
142,Montague,15,0,5,0,3,0,0,3
170,Hansford,10,0,3,0,3,0,0,2
171,Chambers,17,1,1,0,9,1,0,2
172,Hardin,22,1,4,0,8,1,0,2
173,Collin,13,0,2,0,5,0,0,2
174,Brazoria,22,1,1,0,11,2,0,2
175,Throckmorton,14,2,3,0,3,0,0,2
176,Bastrop,23,2,11,0,4,0,0,2
177,Scurry,12,0,4,0,3,0,0,2
178,Ector,12,0,5,0,3,0,0,2
179,Limestone,12,1,3,0,3,0,0,2
180,Denton,16,0,3,0,5,0,0,2
181,Red River,16,1,4,0,4,0,0,3
182,Matagorda,18,0,2,0,11,1,0,2
183,Hardeman,12,0,4,0,3,0,0,2
184,Palo Pinto,18,1,9,0,3,0,0,2
186,Sherman,9,0,2,0,3,0,0,2
187,Uvalde,13,2,2,0,3,0,0,2
188,Bailey,12,0,3,0,3,0,0,3
189,Culberson,10,0,3,0,3,0,0,2
190,Atascosa,15,1,2,0,5,0,0,2
191,Wilson,13,1,2,0,4,0,0,2
192,Starr,17,0,2,0,9,0,0,2
193,Dallas,17,0,2,0,8,0,0,2
194,Kimble,13,1,5,0,3,0,0,2
228,Bosque,16,2,4,0,3,0,0,2
213,Somervell,14,1,4,0,3,0,0,2
214,Kenedy,16,0,2,0,10,0,0,2
215,Borden,11,0,2,0,3,0,0,3
216,San Saba,14,2,4,0,3,0,0,2
220,Castro,11,0,3,0,3,0,0,2
221,Brewster,11,0,4,0,3,0,0,2
222,Gregg,15,1,2,0,6,0,0,3
223,Ward,9,0,2,0,3,0,0,2
224,Wilbarger,13,0,4,0,3,0,0,2
225,Hamilton,11,0,3,0,3,0,0,2
230,Roberts,11,0,4,0,3,0,0,2
231,Callahan,19,4,6,0,3,0,0,2
232,Rains,11,0,2,0,3,0,0,3
233,Morris,13,0,3,0,5,0,0,3
234,Lampasas,12,0,4,0,3,0,0,2
235,Upshur,16,1,3,0,5,0,0,3
236,Wheeler,12,0,4,0,3,0,0,2
237,San Patricio,23,1,2,0,13,1,0,2
245,Cameron,22,2,2,0,11,0,0,2
246,Montgomery,25,3,6,0,8,1,0,2
238,Moore,11,0,3,0,3,0,0,2
239,Webb,17,0,3,0,8,1,0,2
240,Blanco,12,1,3,0,3,0,0,2
241,Newton,22,1,5,0,9,1,0,2
242,Hockley,11,0,3,0,3,0,0,2
243,Panola,16,0,4,0,6,0,0,3
250,Hartley,11,0,3,0,3,0,0,2
251,Jim Wells,22,2,2,0,11,1,0,2
252,Zapata,13,0,3,0,6,0,0,2
253,Travis,28,3,9,0,8,0,0,2
254,Howard,15,0,8,0,3,0,0,2
0,,10,0,2,0,1,0,0,0
